@relation BOOKKEEPER_TRAINING_1.arff
@attribute SIZE numeric
@attribute LOC_ADDED numeric
@attribute MAX_LOC_ADDED numeric
@attribute AVG_LOC_ADDED numeric
@attribute LOC_DELETED numeric
@attribute MAX_LOC_DELETED numeric
@attribute AVG_LOC_DELETED numeric
@attribute CHURN numeric
@attribute MAX_CHURN numeric
@attribute AVG_CHURN numeric
@attribute FIXED_DEFECTS numeric
@attribute NUMBER_OF_COMMITS numeric
@attribute NUMBER_OF_AUTHORS numeric
@attribute IS_BUGGY {'True', 'False'}
@data
137,235,137,58.75,98,94,24.5,139,137,34.75,0,4,2,False
244,340,252,68.0,96,64,19.2,262,252,52.4,0,5,2,False
1026,1246,545,89.0,220,81,15.714285714285714,1026,545,73.28571428571429,0,14,3,False
92,121,81,40.333333333333336,29,29,9.666666666666666,92,81,30.666666666666668,0,3,3,False
180,195,168,48.75,15,12,3.75,180,168,45.0,0,4,2,False
471,633,487,70.33333333333333,162,104,18.0,551,487,61.22222222222222,0,9,3,False
204,210,124,42.0,6,2,1.2,204,124,40.8,0,5,3,False
551,621,536,88.71428571428571,70,26,10.0,557,536,79.57142857142857,0,7,3,False
149,168,133,33.6,19,14,3.8,149,133,29.8,0,5,3,False
157,164,151,54.666666666666664,7,6,2.3333333333333335,157,151,52.333333333333336,0,3,3,False
147,147,147,147.0,0,0,0.0,147,147,147.0,0,1,1,False
137,269,126,53.8,132,113,26.4,141,126,28.2,0,5,3,False
271,280,249,70.0,9,8,2.25,271,249,67.75,0,4,3,False
548,1040,410,115.55555555555556,492,401,54.666666666666664,548,410,60.888888888888886,0,9,3,False
728,931,714,155.16666666666666,203,121,33.833333333333336,882,714,147.0,0,6,2,False
205,212,204,53.0,7,4,1.75,205,204,51.25,0,4,2,False
50,53,50,26.5,3,3,1.5,50,50,25.0,0,2,2,False
185,207,184,41.4,22,16,4.4,185,184,37.0,0,5,3,False
61,66,61,22.0,5,4,1.6666666666666667,61,61,20.333333333333332,0,3,3,False
157,210,167,26.25,53,26,6.625,181,167,22.625,0,8,3,False
81,92,80,23.0,11,7,2.75,81,80,20.25,0,4,3,False
84,133,83,44.333333333333336,49,46,16.333333333333332,84,83,28.0,0,3,2,False
762,1462,547,121.83333333333333,700,520,58.333333333333336,770,547,64.16666666666667,0,12,3,False
248,288,198,41.142857142857146,40,16,5.714285714285714,252,198,36.0,0,7,3,False
169,232,140,25.77777777777778,63,17,7.0,171,140,19.0,0,9,3,False
196,224,178,37.333333333333336,28,9,4.666666666666667,196,178,32.666666666666664,0,6,3,False
67,76,67,19.0,9,7,2.25,67,67,16.75,0,4,3,False
165,182,138,45.5,17,11,4.25,165,138,41.25,0,4,3,False
173,193,170,48.25,20,17,5.0,173,170,43.25,0,4,3,False
103,127,101,21.166666666666668,24,10,4.0,107,101,17.833333333333332,0,6,2,False
78,78,78,78.0,0,0,0.0,78,78,78.0,0,1,1,False
87,88,87,44.0,1,1,0.5,87,87,43.5,0,2,2,False
85,86,85,43.0,1,1,0.5,85,85,42.5,0,2,2,False
105,106,61,53.0,1,1,0.5,105,61,52.5,0,2,1,False
216,224,216,56.0,8,6,2.0,216,216,54.0,0,4,2,False
377,397,377,99.25,20,11,5.0,377,377,94.25,0,4,2,False
253,255,251,127.5,2,2,1.0,253,251,126.5,0,2,1,False
193,193,193,193.0,0,0,0.0,193,193,193.0,0,1,1,False
514,514,514,514.0,0,0,0.0,514,514,514.0,0,1,1,False
204,204,204,204.0,0,0,0.0,204,204,204.0,0,1,1,False
144,144,144,144.0,0,0,0.0,144,144,144.0,0,1,1,False
98,98,98,98.0,0,0,0.0,98,98,98.0,0,1,1,False
181,203,178,29.0,22,9,3.142857142857143,189,178,27.0,0,7,3,False
154,162,75,40.5,8,5,2.0,154,75,38.5,0,4,3,False
393,489,209,44.45454545454545,96,48,8.727272727272727,399,209,36.27272727272727,0,11,3,False
132,139,75,46.333333333333336,7,7,2.3333333333333335,132,75,44.0,0,3,3,False
533,556,521,69.5,23,8,2.875,535,521,66.875,0,8,3,False
603,683,573,75.88888888888889,80,24,8.88888888888889,607,573,67.44444444444444,0,9,3,False
148,148,148,148.0,0,0,0.0,148,148,148.0,0,1,1,False
174,184,173,61.333333333333336,10,8,3.3333333333333335,174,173,58.0,0,3,2,False
148,158,147,52.666666666666664,10,8,3.3333333333333335,148,147,49.333333333333336,0,3,2,False
92,834,763,139.0,742,688,123.66666666666667,1442,763,240.33333333333334,0,6,3,False
234,438,209,73.0,204,101,34.0,234,209,39.0,0,6,3,False
54,59,54,19.666666666666668,5,4,1.6666666666666667,54,54,18.0,0,3,3,False
38,43,38,21.5,5,5,2.5,38,38,19.0,0,2,2,False
98,102,98,51.0,4,4,2.0,98,98,49.0,0,2,2,False
39,49,38,16.333333333333332,10,7,3.3333333333333335,39,38,13.0,0,3,2,False
69,98,94,32.666666666666664,29,25,9.666666666666666,119,94,39.666666666666664,0,3,3,False
94,94,94,94.0,0,0,0.0,94,94,94.0,0,1,1,False
72,72,72,72.0,0,0,0.0,72,72,72.0,0,1,1,False
42,42,42,42.0,0,0,0.0,42,42,42.0,0,1,1,False
48,56,48,18.666666666666668,8,5,2.6666666666666665,48,48,16.0,0,3,2,False
63,67,63,33.5,4,4,2.0,63,63,31.5,0,2,2,False
237,257,237,128.5,20,20,10.0,237,237,118.5,0,2,2,False
133,139,133,46.333333333333336,6,5,2.0,133,133,44.333333333333336,0,3,2,False
137,150,136,37.5,13,10,3.25,137,136,34.25,0,4,2,False
177,181,176,60.333333333333336,4,2,1.3333333333333333,177,176,59.0,0,3,2,False
46,47,46,23.5,1,1,0.5,46,46,23.0,0,2,2,False
128,137,127,27.4,9,5,1.8,128,127,25.6,0,5,3,False
149,152,148,50.666666666666664,3,2,1.0,149,148,49.666666666666664,0,3,2,False
58,59,58,29.5,1,1,0.5,58,58,29.0,0,2,2,False
149,152,149,76.0,3,3,1.5,149,149,74.5,0,2,2,False
74,78,74,39.0,4,4,2.0,74,74,37.0,0,2,2,False
37,37,37,37.0,0,0,0.0,37,37,37.0,0,1,1,False
38,40,38,20.0,2,2,1.0,38,38,19.0,0,2,2,False
39,40,39,20.0,1,1,0.5,39,39,19.5,0,2,2,False
96,107,95,26.75,11,5,2.75,96,95,24.0,0,4,2,False
88,91,87,30.333333333333332,3,2,1.0,88,87,29.333333333333332,0,3,2,False
71,78,70,19.5,7,3,1.75,71,70,17.75,0,4,2,False
114,123,113,30.75,9,4,2.25,114,113,28.5,0,4,2,False
